MFLCode,Latitude,Longitude,Method_Geocode,Source_Geocode,Date_Geocode,Province,District,Facility,Owner,Type,Division,Location,Sublocation,Nearest Town,Plot No,Constituency,Status,Off_Landline,Off_Mob,Off_Fax,Off_Email,Off_POBox,Off_Town,Off_PostCode,In Charge Name,ANC,ART,BEOC,Blood Tr,C Section,CEOC,FP,Growth,HCT,Inp,HBC,IMM,IMCI,Outp,PMTCT,Radiology,RHTC_RHDC,TB_Diag,TB_Labs,TB_Treat,Youth,Beds,Cots,CHWTrain,CHW
10278,-1.02772,36.6279,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Gatundu,Gituamba Medical Clinic,Private Medical Enterprise,Medical Clinic - Nurse/ Midwife,Kamwangi,Chania,Gituamba,Gatundutown,,GATUNDU NORTH,Operational,,0722-481085,,,,,,M Kamau,,,,,,,,,,,,,,Y,,,,,,,,,,,
10284,-0.89385,36.561,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Gatundu,Gitwe Medical Clinic,Private Medical Enterprise,Medical Clinic - Nurse/ Midwife,Gatundu South,Ndarugu,Gitwe,Gatundutown,,GATUNDU SOUTH,Operational,,0735-230248,,,,,,Mr M Ngugi,,,,,,,,,,,,,,Y,,,,,,,,,,,
10323,-0.385151,36.9996,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Gatundu,Hope Medical Clinic (Gatundu South),Private Medical Enterprise,Medical Clinic - Nurse/ Midwife,Gatundu South,Kiganjo,Kiganjo,Gatundutown,,GATUNDU SOUTH,Operational,,0724-338405,,,,,10100,Mrs Margaret,Y,,,,,,Y,Y,Y,,,Y,,Y,Y,,,Y,,,,,,,
10329,-0.999385,36.9579,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Gatundu,Huruma Medical Clinic (Gatundu),Private Medical Enterprise,Medical Clinic - Nurse/ Midwife,Kamwangi,Mangu,Mangu,Gatundutown,,GATUNDU NORTH,Operational,,,,,,,,,Y,,Y,,,,Y,Y,Y,,,Y,,Y,Y,,,Y,,,,,,,
10338,-0.9821,36.9528,"Calc from proximity to school, village, markets",KEMRI GIS MERGE,7/14/09,Central,Gatundu,Igegania Health Centre,Ministry of Health,Health Centre,Kamwangi,Mangu,Karura,Gatundutown,,GATUNDU NORTH,Operational,,0721-359372,,,,,,Dr Muya,y,y,Y,,,,Y,Y,y,y,y,y,,Y,Y,,,,,y,,10,4,,
10363,-0.944662,36.7909,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Gatundu,Ituramiro Medical Clinic,Private Medical Enterprise,Medical Clinic - Nurse/ Midwife,Gatundu South,Ndarugu,Munyu-Ini,Gatundutown,,GATUNDU SOUTH,Operational,,0722-359490,,,,,,M/S Lilian Kiarie,Y,,Y,,,,Y,Y,Y,,,Y,,Y,Y,,,,,,,,,,
10370,-0.999385,36.9579,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Gatundu,Jamii Medical Clinic (Gatundu),Private Medical Enterprise,Medical Clinic - Nurse/ Midwife,Kamwangi,Mangu,Mangu,Gatundutown,,GATUNDU NORTH,Operational,,0733-439050,,,,,,Michael,Y,,Y,,,,Y,Y,Y,,,Y,,Y,Y,,,,,,,,,,
10392,-0.94381,36.76355,"Calc from proximity to school, village, markets",KEMRI GIS MERGE,7/14/09,Central,Gatundu,Kabuteti (AIC) Medical Clinic,Private Medical Enterprise,Medical Clinic - Nurse/ Midwife,Gatundu South,Kiganjo,Mundoro,Gatundutown,,GATUNDU SOUTH,Operational,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,
10430,-0.612384,37.0133,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Gatundu,Kairi Medical Clinic,Private Medical Enterprise,Medical Clinic - Nurse/ Midwife,Kamwangi,Chania,Kairi,Gatundutown,,GATUNDU NORTH,Operational,,,,,,,,,,,Y,,,,Y,Y,,,,y,,Y,,,,,,,,,,,
10456,-0.942925,36.8889,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Gatundu,Kamwangi Health Services,Private Medical Enterprise,Medical Clinic - Nurse/ Midwife,Kamwangi,Mangu,Mangu,Gatundutown,,GATUNDU NORTH,Operational,,0720-482716,,,,,,Timothy M,Y,,Y,,,,Y,Y,,,,Y,,Y,Y,,,,,,,,,,
10489,-0.94624,36.82501,Taken with GPS Device,KEMRI GIS MERGE,7/14/09,Central,Gatundu,Karatu Health Centre,Ministry of Health,Health Centre,Gatundu South,Ndarugu,Karatu,Gatundutown,,GATUNDU SOUTH,Operational,,0721-273362,,,,,,Mr Mwega,y,y,y,,,,y,y,y,y,,y,,Y,y,,,,,y,,24,6,,
10497,-0.90626,36.84911,"Calc from proximity to school, village, markets",KEMRI GIS MERGE,7/14/09,Central,Gatundu,Karinga Mission,Other Faith Based,Medical Clinic - Nurse/ Midwife,Gatundu South,Ndarugu,Karinga,Gatundutown,,GATUNDU SOUTH,Operational,,,,,,,,F Kamuyu,,,Y,,,,,Y,Y,,,Y,,Y,,,,,,,,,,,
10508,-0.713561,37.1602,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Gatundu,Karure Medical Clinic,Private Medical Enterprise,Medical Clinic - Clinical officer,Kamwangi,Mangu,Karuri,Gatundutown,,GATUNDU NORTH,Operational,,0723-775419,,,,,,M/S Ruth Njeri,,,,,,,,,,,,,,Y,,,,,,,,,,,
10580,-0.85493,36.67507,Taken with GPS Device,KEMRI GIS MERGE,7/14/09,Central,Gatundu,Kieni Dispensary (Gatundu),Ministry of Health,Dispensary,Kamwangi,Chania,Kieni,Gatundutown,,GATUNDU NORTH,Operational,,0723-924968,,,,,10100,M/S Ann,y,,,,,,,y,,,,y,,Y,,,,,,,,,,,
10581,-0.99434,36.84952,"Calc from proximity to school, village, markets",KEMRI GIS MERGE,7/14/09,Central,Gatundu,Kiganjo Dispensary,Ministry of Health,Dispensary,Gatundu South,Kiganjo,Kiganjo,Gatundutown,,GATUNDU SOUTH,Operational,,0721-301706,,,,,,Mrs Wainaina,y,,,,,,y,y,,,,y,,Y,,,,,,y,,,,,
10585,-0.647568,37.1439,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Gatundu,Kigongo Medical Clinic,Private Medical Enterprise,Medical Clinic - Nurse/ Midwife,Gatundu South,Kiganjo,Kiganjo,Gatundutown,,GATUNDU SOUTH,Operational,,,,,,,,S.Wainaina,Y,,Y,,,,Y,,,,,,,Y,,,,,,,,,,,
10612,-1.0343,36.9217,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Gatundu,Kimunyu (PCEA) Dispensary,Other Faith Based,Medical Clinic - Nurse/ Midwife,Gatundu South,Ngenda,Kimunyu,Gatundutown,,GATUNDU SOUTH,Operational,,0721-974375,,,,,,Mr Kiama,y,,,,,,y,y,,,,y,,Y,,,,,,,,,,,
10622,-0.999385,36.9579,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Gatundu,Kirathimo Medical Clinic,Private Medical Enterprise,Medical Clinic - Nurse/ Midwife,Kamwangi,Mangu,Mangu,Gatundutown,,GATUNDU NORTH,Operational,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,
10676,-0.647568,37.1439,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Gatundu,Mama Margaret Medical Clinic,Private Medical Enterprise,Medical Clinic - Nurse/ Midwife,Kamwangi,Mangu,Gatukuyu,Gatundutown,,GATUNDU NORTH,Operational,,0734-632716,,,,,10100,M/S Jecinta Mungai,Y,,Y,,,,Y,,Y,,,,,Y,Y,,,,,,,,,,
10703,-0.88124,36.8076,"Calc from proximity to school, village, markets",KEMRI GIS MERGE,7/14/09,Central,Gatundu,Mataara Dispensary,Ministry of Health,Dispensary,Kamwangi,Chania,Mataara,Gatundutown,,GATUNDU NORTH,Operational,,0723-047472,,,,,10100,Mrs Rhoda,Y,,Y,,,,Y,Y,,,,Y,,Y,Y,,,,,,,,,,
10711,-0.97027,36.89595,"Calc from proximity to school, village, markets",KEMRI GIS MERGE,7/14/09,Central,Gatundu,Mbici Dispensary,Ministry of Health,Dispensary,Kamwangi,Ndarugu,Mbici,Gatundutown,,GATUNDU NORTH,Operational,,,,,,,10100,Mrs T Mburu,y,,,,,,,y,,,,y,,Y,,,,,,,,,,,
10760,-0.977596,36.9145,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Gatundu,Mukurwe (PCEA) Medical Clinic,Other Faith Based,Medical Clinic - Nurse/ Midwife,Kamwangi,Mangu,Mangu,Gatundutown,,GATUNDU NORTH,Operational,,,,,,,,Richard Magondu,,,,,,,,,,,,,,,,,,,,,,,,,
10767,-0.945628,36.7609,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Gatundu,Mundoro Medical Clinic,Private Medical Enterprise,Medical Clinic - Nurse/ Midwife,Gatundu South,Kiganjo,Mundoro,Gatundutown,,GATUNDU SOUTH,Operational,,0725-914643,,,,,10100,Stella Kariuki,Y,,Y,,,,Y,Y,,,,y,,Y,Y,,,,,,,,,,
10776,-0.93231,36.78231,"Calc from proximity to school, village, markets",KEMRI GIS MERGE,7/14/09,Central,Gatundu,Munyu-ini Dispensary,Ministry of Health,Dispensary,Gatundu South,Ndarugu,Munyuini,Gatundutown,,GATUNDU SOUTH,Operational,,0722-441952,,,,,,Mrs Betina,y,,,,,,,y,,,,y,,,,,,,,y,,,,,
10835,-0.989327,36.967,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Gatundu,Ndonyero Medical Clinic,Private Medical Enterprise,Medical Clinic - Nurse/ Midwife,Kamwangi,Mangu,Gatukuyu,Gatundutown,,GATUNDU NORTH,Operational,,,,,,,,T.Kimuhu,y,,,,,,Y,Y,,y,,y,,Y,,,,,,,,,,,
16804,,,No Geo Code,,,Central,Gatundu,Nembu Medical Clinic,Private Medical Enterprise,Medical Clinic - Nurse/ Midwife,Gatundu,Kiamwangi,Kiamworia,Gatundutown,,UNKNOWN,Operational,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,
10864,-1.03185,36.8944,"Calc from proximity to school, village, markets",KEMRI GIS MERGE,7/14/09,Central,Gatundu,Ngenda Health Centre,Ministry of Health,Health Centre,Gatundu South,Ngenda,Ngenda,Gatundutown,,GATUNDU SOUTH,Operational,,0733-590336,,,,,,M/S Susan Komo,y,,,,,,,y,,,,y,,Y,,,,,,y,,,,,
10872,-0.91968,36.9044,"Calc from proximity to school, village, markets",KEMRI GIS MERGE,7/14/09,Central,Gatundu,Ngorongo Health Centre,Ministry of Health,Health Centre,Kamwangi,Chania,Ngorongo,Gatundutown,,GATUNDU NORTH,Operational,,0724-585861,,,,,,Rhoda,y,,,,,,,Y,,,,Y,,Y,,,,,y,y,,10,2,,
10998,-0.989327,36.967,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Gatundu,Samkim Medical Clinic,Private Medical Enterprise,Medical Clinic - Nurse/ Midwife,Kamwangi,Mangu,Gatukuyu,Gatundutown,,GATUNDU NORTH,Operational,,0736-909950,,,,,,Mr Gachanja,,,,,,,Y,,,,,,,Y,,,,,,,,,,,
16805,,,No Geo Code,,,Central,Gatundu,St Ann Medical Clinic,Private Medical Enterprise,Medical Clinic - Nurse/ Midwife,Gatundu,Kiganjo,Mundoro,Gatundutown,,UNKNOWN,Operational,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,
11034,-1.03172,36.91904,Taken with GPS Device,KEMRI GIS MERGE,7/14/09,Central,Gatundu,St Gabriel Health Centre,Other Faith Based,Health Centre,Gatundu South,Ngenda,Kimunyu,Gatundutown,,GATUNDU SOUTH,Operational,,0712-383150,,,,,,Fr Ndugo,Y,,Y,,,,Y,Y,,y,,Y,,Y,Y,,,,,,,20,5,,
11073,-0.989327,36.967,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Gatundu,St Triza Medical Clinic,Private Medical Enterprise,Medical Clinic - Nurse/ Midwife,Kamwangi,Mangu,Gatukuyu,Gatundutown,,GATUNDU NORTH,Operational,,0727-701660,,,,,,Mr M.Kimuhu,Y,Y,Y,,Y,Y,Y,Y,Y,Y,,Y,,Y,Y,,,Y,,,,10,2,,
11168,,,No Geo Code,,12/31/99,Central,Gatundu,Wanduta Medical Clinic,Private Medical Enterprise,Medical Clinic - Nurse/ Midwife,Kamwangi,Mangu,Mangu,Gatundutown,,GATUNDU NORTH,Operational,,0711-839840,,,,,10100,Mrs Teresia Kimani,,,,,,,,,,,,,,Y,,,,,,,,,,,
10029,-1.13739,36.84009,"Calc from proximity to school, village, markets",KEMRI GIS MERGE,7/14/09,Central,Kiambu East,Anmer Dispensary,Ministry of Health,Dispensary,Kiambaa,Tinganga,Tinganga,Kiambu,,KIAMBAA,Operational,,0720-969253,,,P.O. Box 39,Kiambu,00900,Ann Thuo,Y,,Y,,,,Y,Y,,,,Y,,Y,Y,,,,,Y,,,,,
10058,-0.681688,37.0441,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Kiambu East,Beta Care Nursing Home,Private Medical Enterprise,Nursing home with Maternity,Githunguri,Githunguri,Githunguri,Githunguri,,GITHUNGURI,Operational,,0721-731864,,,,,,Karani,Y,,Y,,,,Y,Y,,,,Y,,Y,Y,,,,,,,,,,
10072,-1.16138,36.7596,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Kiambu East,Bl Palazzolo Dispensary,Other Faith Based,Dispensary,Kiambaa,Kiambaa,Kiambaa,Kiambu,,KIAMBAA,Operational,,,,,,,,Sr Ann,,,,,,,,,,,,,,Y,,,,,,,,,,,
10097,-1.1328,36.7613,"Calc from proximity to school, village, markets",KEMRI GIS MERGE,7/14/09,Central,Kiambu East,Cianda Dispensary,Ministry of Health,Dispensary,Kiambaa,Cianda,Cianda,Kiambu,,KIAMBAA,Operational,,,,,P.O. Box 39,Kiambu,OO9OO,Rose Macharia,Y,,Y,,,,Y,Y,Y,,,Y,,Y,Y,,,,,Y,,,,,
10214,-1.18231,36.79123,"Calc from proximity to school, village, markets",KEMRI GIS MERGE,7/14/09,Central,Kiambu East,Gathanga Dispensary,Ministry of Health,Dispensary,Kiambaa,Gathanga,Gathanga,Kiambu,,KIAMBAA,Operational,061-2030382,,,,P.O. Box 39,Kiambu,OO9OO,Lucy Ngunu,Y,Y,Y,,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,,,Y,,Y,,,,,
10219,-1.04995,36.87118,"Calc from proximity to school, village, markets",KEMRI GIS MERGE,7/14/09,Central,Kiambu East,Gathiruini (PCEA) Dispensary,Other Faith Based,Dispensary,Githunguri,Komothai,Gathiruini,Githunguri,,GITHUNGURI,Operational,,,,,,,,Nancy Njogu,Y,,,,,,Y,,,,,,,Y,,,,,,,,,,,
10263,-1.083,36.7462,"Calc from proximity to school, village, markets",KEMRI GIS MERGE,7/14/09,Central,Kiambu East,Githiga Health Centre,Ministry of Health,Health Centre,Githunguri,Githiga,Githiga,Githunguri,,GITHUNGURI,Operational,,,,,P.O. Box 39,Kiambu,OO9OO,Mbuti,Y,,Y,,,,Y,Y,Y,,,Y,,Y,Y,,,,Y,Y,,16,,,
10264,-0.698678,36.9288,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Kiambu East,Githiga Midways Clinic,Private Medical Enterprise,Medical Clinic - Nurse/ Midwife,Githunguri,Githiga,Githiga,Githunguri,,GITHUNGURI,Operational,,,,,,,,Wanjema,,,,,,,,,,,,,,Y,,,,,,,,,,,
10269,-1.05339,36.788,"Calc from proximity to school, village, markets",KEMRI GIS MERGE,7/14/09,Central,Kiambu East,Githunguri Health Centre,Ministry of Health,Health Centre,Githunguri,Githunguri,Githunguri,Githunguri,,GITHUNGURI,Operational,,,,,P.O. Box 39,Kiambu,OO9OO,Jane Kimani,,,,,,,,,,,,,,Y,,,,,,,,10,,,
10270,-0.681688,37.0441,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Kiambu East,Githunguri Health Services Clinic,Private Medical Enterprise,Medical Clinic - Clinical officer,Githunguri,Githunguri,Githunguri,Githunguri,,GITHUNGURI,Operational,,,,,,,,T Kanyagia,,,,,,,Y,,,,,,,Y,,,,,,,,,,,
10271,-0.681688,37.0441,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Kiambu East,Githunguri Heathwatch Clinic,Private Medical Enterprise,Medical Clinic - General practitioner,Githunguri,Githunguri,Githunguri,Githunguri,,GITHUNGURI,Operational,,,,,,,,Kamau,,,,,,,,,,,,,,Y,,,,,,,,,,,
10272,-0.681688,37.0441,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Kiambu East,Githunguri Medical Plaza Clinic,Private Medical Enterprise,Medical Clinic - Nurse/ Midwife,Githunguri,Githunguri,Githunguri,Githunguri,,GITHUNGURI,Operational,,,,,,,,R Njoroge,,,,,,,,,,,,,,Y,,,,,,,,,,,
10275,-1.0742,36.6896,"Calc from proximity to school, village, markets",KEMRI GIS MERGE,7/14/09,Central,Kiambu East,Gitiha Dispensary,Ministry of Health,Dispensary,Githunguri,Gitiha,Gitiha,Githunguri,,GITHUNGURI,Operational,,,,,P.O. Box 39,Kiambu,OO9OO,Jane Kingoi,,,Y,,,,,,,,,Y,,Y,Y,,,,,Y,,,,,
10290,-1.17568,36.82432,"Calc from proximity to school, village, markets",KEMRI GIS MERGE,7/14/09,Central,Kiambu East,GK Prisons Dispensary (Kiambu East),Ministry of Health,Dispensary,Kiambaa,Settled Area,Township,Kiambu,,KIAMBAA,Operational,,,,,,,,,,,Y,,,,Y,Y,Y,,,Y,,Y,Y,,,,,,,,,,
10322,-1.09827,36.7875,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Kiambu East,Holy Rosary Ikinu Dispensary,Other Faith Based,Dispensary,Githunguri,Ikinu,Ikinu,Githunguri,,GITHUNGURI,Operational,,,,,,,,Fr Kauta,,,,,,,Y,,,,,,,Y,,,,,,,,,,,
10446,-1.02824,36.74349,Taken with GPS Device,KEMRI GIS MERGE,7/14/09,Central,Kiambu East,Kambui (PCEA) Dispensary,Other Faith Based,Dispensary,Githunguri,Kimathi,Kambui,Githunguri,,GITHUNGURI,Operational,,,,,,,,Njogu,,,,,,,,,,,,,,Y,,,,,,,,,,,
10493,-0.447366,36.9513,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Kiambu East,Karia Health Centre,Ministry of Health,Health Centre,Githunguri,Ikinu,Karia,Githunguri,,GITHUNGURI,Operational,,,,,P.O. Box 39,Kiambu,OO9OO,Ndichu,,,,,,,,,,,,,,Y,,,,,,,,,,,
10506,-1.22,36.78,"Calc from proximity to school, village, markets",KEMRI GIS MERGE,7/14/09,Central,Kiambu East,Karura (SDA) Dispensary,Other Faith Based,Dispensary,Kiambaa,Kihara,Gacii,Nairobi,,KIAMBAA,Operational,,,,,,,,,Y,,Y,,,,Y,Y,,,,Y,,Y,Y,,,,,Y,,,,,
10507,-1.18431,36.7399,"Calc from proximity to school, village, markets",KEMRI GIS MERGE,7/14/09,Central,Kiambu East,Karuri Health Centre,Ministry of Health,Health Centre,Kiambaa,Kiambaa,Karuri,Kiambu,,KIAMBAA,Operational,,,,,P.O. Box 39,Kiambu,OO9OO,Musembi,,,,,,,,,,,,,,Y,,,,,Y,,,18,1,,
10539,-1.16938,36.82993,Taken with GPS Device,KEMRI GIS MERGE,7/14/09,Central,Kiambu East,Kiambu District Hospital,Ministry of Health,Primary Hospital,Kiambaa,Settled Area,Township,Kiambu,,KIAMBAA,Operational,,,,,P.O. Box 39,Kiambu,OO9OO,Dr Patrick Amoth,Y,,Y,,,,Y,Y,Y,,,Y,,Y,Y,,,,Y,Y,,316,67,,
10540,,,No Geo Code,,12/31/99,Central,Kiambu East,Kiambu Institute Of Science And Technology Dispensary,Other Public Institution,Medical Clinic - Nurse/ Midwife,Kiambaa,Settled Area,Township,Kiambu,,KIAMBAA,Operational,,,,,,,,Mary Muraguri,,,,,,,,,,,,,,Y,,,,,,,,,,,
10573,-1.15737,36.78345,"Calc from proximity to school, village, markets",KEMRI GIS MERGE,7/14/09,Central,Kiambu East,Kibubuti Dispensary,Company Medical Service,Medical Clinic - Nurse/ Midwife,Kiambaa,Kiambaa,Kanunga,Kiambu,,KIAMBAA,Operational,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,
10587,-1.03108,36.82658,"Calc from proximity to school, village, markets",KEMRI GIS MERGE,7/14/09,Central,Kiambu East,Kigumo Health Centre (Kiambu East),Ministry of Health,Health Centre,Githunguri,Komothai,Kigumo,Githunguri,,GITHUNGURI,Operational,,,,,P.O. Box 39,Kiambu,OO9OO,Njau,,,,,,,,,,,,,,Y,,,,,Y,,,16,,,
10591,-1.21091,36.7386,"Calc from proximity to school, village, markets",KEMRI GIS MERGE,7/14/09,Central,Kiambu East,Kihara Sub-District Hospital,Ministry of Health,Primary Hospital,Kiambaa,Kihara,Gacii,Nairobi,,KIAMBAA,Operational,,,,,P.O. Box 39,Kiambu,OO9OO,Dr Macharia,Y,,Y,,,,Y,Y,,,,Y,,Y,Y,,,,Y,,,84,,,
10726,-1.07,36.8,"Calc from proximity to school, village, markets",KEMRI GIS MERGE,7/14/09,Central,Kiambu East,Miguta Dispensary,Ministry of Health,Dispensary,Githunguri,Ngewa,Miguta,Githunguri,,GITHUNGURI,Operational,,,,,P.O. Box 39,Kiambu,OO9OO,Rachael Heta,Y,,Y,,,,Y,Y,,,,Y,,Y,Y,,,,,Y,,,,,
10734,-0.681688,37.0441,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Kiambu East,Monica Clinic,Private Medical Enterprise,Medical Clinic - Nurse/ Midwife,Githunguri,Githunguri,Githunguri,Githunguri,,GITHUNGURI,Operational,,,,,,,,Monica Gitiha,Y,Y,Y,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,,Y,,,,,
10865,-1.09234,36.86396,"Calc from proximity to school, village, markets",KEMRI GIS MERGE,7/14/09,Central,Kiambu East,Ngewa Health Centre,Ministry of Health,Health Centre,Githunguri,Ngewa,Nyaga,Githunguri,,GITHUNGURI,Operational,,,,,P.O. Box 39,Kiambu,OO9OO,Kahuthia Munene,,,,,,,,,,,,Y,,Y,,,,,Y,,,16,,,
10957,-1.16548,36.846,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Kiambu East,Riabai Dispensary,Community,Dispensary,Kiambaa,Riabai,Riabai,Kiambu,,KIAMBAA,Operational,,,,,,,,Juliet,,,Y,,,,Y,,,Y,,,,Y,,,,,,,,,,,
